IDENTITAS,UMUR,JENIS_KELAMIN,PENGALAMAN_MENGEMUDI,PENDIDIKAN,PENGHASILAN,SKOR_KREDIT,PEMILIK_KENDARAAN,TAHUN_PRODUKSI,STATUS,ANAK,KODE_POS,KM_PER_TAHUN,JENIS_KENDARAAN,TILANG_NGEBUT,TILANG_MABUK,KECELAKAAN_SEBELUMNYA,KLAIM
24851,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,,tidak,sebelum 2020,menikah,tidak ada,32765,12000.0,keluarga,0,0,0,ya
104086,antara 25-40 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.6805942795073384,ya,sebelum 2020,belum menikah,ada,32765,,keluarga,0,0,0,ya
240658,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.4177139816231188,ya,sebelum 2020,belum menikah,ada,10238,18000.0,keluarga,0,0,0,ya
484399,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.4095135306516067,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,ya
912828,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.5532600531952381,ya,setelah 2020,menikah,ada,32765,8000.0,keluarga,0,0,0,ya
892754,antara 40-65 tahun,laki-laki,antara 20-30 tahun,tidak ada,kurang dari UMR,0.3309502618581893,ya,sebelum 2020,menikah,ada,10238,13000.0,keluarga,3,1,1,tidak
217,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,tidak
633896,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.5006306604427161,ya,sebelum 2020,menikah,ada,32765,7000.0,keluarga,13,2,3,tidak
193110,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,antara 2-3x UMR,0.5519701813636283,ya,sebelum 2020,menikah,tidak ada,10238,14000.0,sport,0,0,0,tidak
98515,antara 40-65 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,0.6269960497386653,ya,sebelum 2020,belum menikah,tidak ada,10238,13000.0,keluarga,1,1,0,tidak
165623,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,kurang dari UMR,0.2947974807719967,ya,sebelum 2020,menikah,tidak ada,10238,15000.0,keluarga,0,0,1,tidak
493590,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.5519504952618395,tidak,setelah 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,1,tidak
389792,lebih dari 65 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.649820471216227,ya,setelah 2020,menikah,ada,32765,9000.0,keluarga,0,0,0,ya
642614,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 2-3x UMR,0.5218044346397632,ya,setelah 2020,menikah,ada,92101,7000.0,keluarga,2,0,1,tidak
951465,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.7012683240604196,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,3,1,1,tidak
496987,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.1712440288213211,ya,sebelum 2020,menikah,ada,10238,9000.0,keluarga,0,0,0,tidak
732437,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3184419972124171,ya,sebelum 2020,belum menikah,ada,32765,10000.0,keluarga,0,0,0,ya
146897,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.6046842696715551,ya,sebelum 2020,menikah,ada,21217,11000.0,keluarga,0,0,0,ya
316173,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.5049948526440377,tidak,setelah 2020,belum menikah,tidak ada,32765,8000.0,keluarga,0,0,0,ya
9013,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,antara 1-2x UMR,0.6251466352816216,ya,sebelum 2020,belum menikah,ada,10238,17000.0,keluarga,3,0,2,tidak
511757,antara 40-65 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 2-3x UMR,,ya,sebelum 2020,menikah,ada,10238,11000.0,keluarga,2,0,1,tidak
429947,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,,tidak,setelah 2020,belum menikah,ada,10238,12000.0,sport,6,0,5,tidak
485660,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.5781305873212035,ya,sebelum 2020,belum menikah,ada,92101,14000.0,keluarga,1,0,1,tidak
80496,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.7054542902137054,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,5,1,3,tidak
478336,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6595254905875941,ya,setelah 2020,belum menikah,ada,10238,16000.0,keluarga,4,0,2,tidak
10843,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.5873836120460223,tidak,setelah 2020,menikah,ada,32765,9000.0,keluarga,10,2,0,tidak
397446,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.4064824253974476,tidak,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,ya
101678,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,kurang dari UMR,0.2857471319596469,tidak,sebelum 2020,belum menikah,ada,10238,13000.0,keluarga,1,0,0,ya
231661,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 2-3x UMR,0.5022849652731057,tidak,sebelum 2020,belum menikah,tidak ada,10238,14000.0,sport,3,0,4,tidak
173782,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.6256257210210231,ya,setelah 2020,menikah,ada,10238,7000.0,keluarga,7,0,5,tidak
921097,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,,ya,setelah 2020,menikah,ada,92101,11000.0,keluarga,3,0,2,tidak
98839,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,antara 1-2x UMR,0.3931531299744003,ya,sebelum 2020,belum menikah,ada,32765,12000.0,keluarga,1,0,0,tidak
105372,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 1-2x UMR,0.5039497598168121,tidak,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,1,0,0,tidak
888828,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6586274302571438,ya,sebelum 2020,menikah,tidak ada,10238,14000.0,keluarga,3,0,2,tidak
37454,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5241464657501199,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,ya
370044,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.5531007570628673,tidak,setelah 2020,menikah,ada,32765,7000.0,keluarga,9,0,1,tidak
768282,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.4475509489142775,tidak,sebelum 2020,menikah,ada,10238,8000.0,keluarga,0,0,0,ya
738729,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,antara 1-2x UMR,0.5107331365064207,ya,sebelum 2020,menikah,ada,10238,7000.0,keluarga,0,0,0,ya
437535,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,,ya,setelah 2020,menikah,tidak ada,10238,15000.0,keluarga,0,0,0,tidak
329536,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.4613735917269193,tidak,sebelum 2020,belum menikah,tidak ada,32765,9000.0,keluarga,0,0,0,ya
328531,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,antara 2-3x UMR,0.3875569443647317,tidak,setelah 2020,belum menikah,ada,32765,12000.0,keluarga,2,0,1,tidak
123941,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,antara 2-3x UMR,0.5701572256616224,ya,setelah 2020,menikah,ada,10238,,keluarga,0,0,0,tidak
131881,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 1-2x UMR,0.5501250875743224,ya,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,1,0,tidak
839572,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 1-2x UMR,0.4529442316093683,tidak,sebelum 2020,menikah,ada,10238,12000.0,keluarga,3,0,1,tidak
171578,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,,ya,sebelum 2020,menikah,ada,10238,8000.0,keluarga,2,0,1,tidak
589757,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5352743096602144,ya,sebelum 2020,menikah,ada,92101,7000.0,keluarga,2,0,0,tidak
336859,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.6147359485632915,ya,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,0,0,0,ya
788111,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,kurang dari UMR,0.4544471564329259,ya,sebelum 2020,menikah,ada,10238,,keluarga,1,0,1,tidak
407453,antara 40-65 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.6137409183819416,ya,sebelum 2020,belum menikah,tidak ada,10238,,keluarga,0,0,0,tidak
367026,antara 40-65 tahun,perempuan,antara 10-20 tahun,SMA,antara 1-2x UMR,0.5326613280250595,ya,sebelum 2020,menikah,ada,10238,11000.0,keluarga,0,0,0,tidak
334687,antara 40-65 tahun,perempuan,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.4277285143019345,ya,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,0,0,0,ya
623367,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6859457213719147,ya,sebelum 2020,menikah,ada,32765,5000.0,keluarga,4,1,4,tidak
688440,lebih dari 65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6936124267187082,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,2,0,0,tidak
547974,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5979905963582334,tidak,sebelum 2020,menikah,ada,10238,12000.0,keluarga,2,1,7,ya
989064,antara 25-40 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3308186664986927,tidak,setelah 2020,menikah,ada,10238,12000.0,keluarga,0,0,0,ya
422816,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 1-2x UMR,,ya,sebelum 2020,belum menikah,tidak ada,10238,12000.0,keluarga,5,0,7,tidak
307408,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 1-2x UMR,,ya,sebelum 2020,belum menikah,ada,10238,9000.0,keluarga,2,0,0,tidak
675898,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.5083042183803546,ya,sebelum 2020,belum menikah,ada,10238,16000.0,keluarga,0,0,0,tidak
480452,antara 25-40 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.7641329165005233,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,0,0,0,tidak
93199,antara 40-65 tahun,perempuan,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.4775169603837716,ya,setelah 2020,menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
125802,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6812332078486962,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,0,0,1,tidak
616663,antara 40-65 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.4671555457007022,ya,setelah 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,tidak
423497,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.3941632454999797,ya,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,ya
492837,antara 40-65 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6610607322734078,ya,setelah 2020,menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
422563,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6651879748430346,tidak,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,2,0,1,tidak
185231,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.560770206632082,ya,sebelum 2020,belum menikah,ada,10238,11000.0,keluarga,0,0,0,tidak
949152,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.7454327103696547,tidak,setelah 2020,belum menikah,tidak ada,32765,9000.0,keluarga,0,0,0,tidak
859453,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.53257435224505,ya,sebelum 2020,menikah,ada,10238,13000.0,keluarga,1,0,2,tidak
466578,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,0.5267473391434415,ya,setelah 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
998214,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.4124517461654282,tidak,sebelum 2020,belum menikah,tidak ada,10238,14000.0,keluarga,0,0,0,ya
828462,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 1-2x UMR,0.3871071449018297,tidak,sebelum 2020,belum menikah,ada,10238,16000.0,keluarga,0,0,6,tidak
511837,lebih dari 65 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,0.5499938678343249,ya,sebelum 2020,menikah,ada,32765,9000.0,keluarga,3,1,1,tidak
554995,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.5853420947575604,ya,sebelum 2020,menikah,ada,10238,12000.0,sport,0,0,0,ya
680717,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,tidak ada,antara 2-3x UMR,0.5987396054343311,ya,sebelum 2020,menikah,ada,10238,14000.0,keluarga,6,1,3,tidak
978021,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6026557000791793,ya,setelah 2020,menikah,ada,10238,7000.0,keluarga,4,0,6,tidak
509815,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5114570584803535,ya,setelah 2020,menikah,ada,32765,,keluarga,0,0,0,tidak
6676,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5586591735288894,tidak,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,3,0,2,tidak
362280,antara 40-65 tahun,laki-laki,antara 10-20 tahun,SMA,antara 1-2x UMR,0.6284070137170304,tidak,sebelum 2020,belum menikah,tidak ada,10238,13000.0,keluarga,0,0,0,ya
883018,antara 40-65 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5057903732571783,ya,sebelum 2020,belum menikah,ada,10238,13000.0,keluarga,0,0,0,tidak
889355,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.7268184180645275,ya,sebelum 2020,menikah,ada,10238,15000.0,keluarga,2,0,0,tidak
198273,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6904423335733175,ya,setelah 2020,menikah,ada,32765,9000.0,keluarga,8,0,2,tidak
197763,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.4796771646619314,tidak,setelah 2020,menikah,tidak ada,10238,14000.0,keluarga,1,0,2,tidak
55670,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,,ya,setelah 2020,menikah,ada,10238,11000.0,keluarga,3,1,0,tidak
545941,antara 40-65 tahun,perempuan,antara 20-30 tahun,tidak ada,antara 1-2x UMR,0.4405592041968235,ya,setelah 2020,menikah,ada,10238,11000.0,keluarga,1,0,2,tidak
814196,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,antara 2-3x UMR,0.634052597196068,ya,sebelum 2020,belum menikah,ada,32765,,keluarga,0,0,0,ya
560160,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.4574695879943666,tidak,sebelum 2020,belum menikah,tidak ada,10238,,keluarga,0,0,0,tidak
320444,antara 25-40 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3086490182004943,tidak,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
305793,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,0.2458351852340737,tidak,sebelum 2020,menikah,ada,10238,11000.0,keluarga,0,0,0,ya
362190,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,0.3056465190413162,tidak,sebelum 2020,belum menikah,tidak ada,10238,14000.0,keluarga,0,0,0,ya
62647,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,lebih dari 3x UMR,0.7440140862681482,ya,sebelum 2020,belum menikah,tidak ada,10238,13000.0,keluarga,2,0,1,tidak
296948,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6704645467899408,ya,setelah 2020,menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
673660,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.6830407984824192,tidak,setelah 2020,menikah,ada,10238,10000.0,keluarga,4,1,3,tidak
945867,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.828628569053192,ya,sebelum 2020,belum menikah,tidak ada,10238,13000.0,keluarga,0,0,0,ya
391880,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,tidak ada,antara 2-3x UMR,,ya,sebelum 2020,menikah,ada,32765,10000.0,keluarga,12,2,2,tidak
241973,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.6293380939717407,ya,sebelum 2020,menikah,tidak ada,10238,11000.0,keluarga,2,0,2,tidak
429503,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,0.28372421050714,tidak,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,0,0,0,ya
810013,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.4576486815858435,ya,setelah 2020,belum menikah,tidak ada,10238,14000.0,sport,0,0,0,ya
663458,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.3049876423937953,tidak,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,0,0,0,ya
879976,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5517442884135392,tidak,sebelum 2020,menikah,ada,32765,10000.0,keluarga,0,0,0,ya
418841,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3186855562451054,ya,sebelum 2020,menikah,tidak ada,32765,9000.0,keluarga,0,0,0,ya
542236,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,antara 1-2x UMR,0.436944194154781,ya,sebelum 2020,belum menikah,tidak ada,10238,12000.0,keluarga,3,0,0,tidak
937573,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6291939843221722,ya,sebelum 2020,menikah,ada,32765,7000.0,keluarga,5,0,1,tidak
670850,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.4055600158887265,ya,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,ya
151252,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.6235462115803201,ya,sebelum 2020,menikah,tidak ada,10238,11000.0,keluarga,0,0,0,tidak
706349,lebih dari 65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.7270329897821235,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,1,1,2,tidak
602998,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,tidak ada,antara 1-2x UMR,0.426828388879915,ya,sebelum 2020,menikah,tidak ada,10238,14000.0,keluarga,3,1,7,tidak
242772,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 2-3x UMR,0.5036589704487734,ya,sebelum 2020,belum menikah,ada,10238,10000.0,keluarga,1,2,0,tidak
393449,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,,tidak,sebelum 2020,belum menikah,tidak ada,10238,12000.0,keluarga,2,0,0,tidak
380740,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.7264400018455291,ya,setelah 2020,menikah,ada,10238,7000.0,keluarga,2,0,3,tidak
938115,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.2444900931240796,tidak,sebelum 2020,belum menikah,ada,32765,,keluarga,0,0,0,ya
727943,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.5757707974509628,ya,sebelum 2020,belum menikah,tidak ada,10238,11000.0,keluarga,0,0,0,ya
766309,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,,tidak,sebelum 2020,belum menikah,tidak ada,10238,10000.0,sport,0,0,0,ya
261229,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.468671965728324,ya,setelah 2020,belum menikah,ada,32765,9000.0,keluarga,0,0,0,ya
60866,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6970834558464781,tidak,setelah 2020,belum menikah,ada,10238,13000.0,keluarga,3,0,2,tidak
752797,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,antara 1-2x UMR,0.5429181079423034,ya,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,1,1,0,tidak
45002,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.6722562535141292,ya,sebelum 2020,menikah,ada,10238,9000.0,keluarga,4,1,2,tidak
482448,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3864066185703315,tidak,sebelum 2020,belum menikah,tidak ada,32765,8000.0,keluarga,0,0,0,ya
549142,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.5512978330713669,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,0,0,0,ya
95138,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 2-3x UMR,0.5985570254244251,tidak,setelah 2020,menikah,tidak ada,10238,14000.0,keluarga,4,1,4,tidak
851152,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 1-2x UMR,,tidak,sebelum 2020,menikah,ada,10238,,keluarga,0,0,1,tidak
615991,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5824219946087406,ya,setelah 2020,menikah,ada,10238,11000.0,keluarga,2,0,1,tidak
424820,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,0.540182723180248,ya,sebelum 2020,menikah,ada,10238,,keluarga,0,0,1,tidak
