UMUR,PEKERJAAN,STATUS_PERKAWINAN,PENDIDIKAN,KREDIT_RUMAH,PINJAMAN,MENGHUBUNGI_DENGAN,LAMA_BICARA,JUMLAH_KONTAK_SEKARANG,JUMLAH_KONTAK_SEBELUMNYA,HASIL_SEBELUMNYA,DEPOSITO
42,pelayan,lajang,lulus SMA,ya,tidak ada,HP,7,5,2,gagal,belum
25,buruh,lajang,lulus SMA,ya,tidak ada,telepon rumah,300,3,2,gagal,belum
47,teknisi,cerai,lulus SMA,ya,tidak ada,HP,182,1,1,gagal,sukses
34,administrasi,menikah,lulus SMA,ya,tidak ada,telepon rumah,12,1,1,gagal,belum
81,pensiunan,menikah,lulus SD,tidak,tidak ada,HP,189,2,1,sukses,belum
32,pelayan,menikah,lulus SMA,ya,ada,HP,6,6,1,gagal,belum
43,pengangguran,menikah,lulus SMP,tidak,tidak ada,HP,270,2,1,sukses,sukses
50,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,146,1,1,gagal,belum
43,administrasi,menikah,lulus SMA,ya,tidak ada,HP,126,2,1,gagal,belum
38,teknisi,lajang,lulus diploma,ya,tidak ada,HP,202,3,1,gagal,belum
28,mahasiswa,lajang,lulus universitas,ya,tidak ada,HP,93,3,2,gagal,belum
41,teknisi,menikah,lulus universitas,tidak,ada,HP,272,1,1,gagal,belum
32,karyawan,lajang,lulus universitas,tidak,tidak ada,HP,93,2,1,gagal,belum
28,pengangguran,lajang,lulus SMP,tidak,ada,HP,261,1,1,gagal,sukses
33,buruh,lajang,lulus SMP,ya,tidak ada,HP,116,2,1,gagal,belum
38,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,126,1,4,gagal,sukses
24,mahasiswa,lajang,lulus SMA,tidak,tidak ada,HP,65,1,2,gagal,belum
56,pelayan,cerai,lulus SMA,ya,tidak ada,HP,125,2,1,gagal,belum
47,administrasi,menikah,lulus universitas,ya,tidak ada,HP,53,1,1,gagal,belum
34,pelayan,cerai,lulus SMA,ya,tidak ada,telepon rumah,11,1,1,gagal,belum
45,pelayan,menikah,lulus SMA,ya,tidak ada,HP,184,2,1,gagal,belum
58,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,198,2,2,gagal,belum
33,buruh,lajang,lulus SMA,ya,tidak ada,HP,203,4,1,gagal,sukses
36,administrasi,cerai,lulus universitas,ya,tidak ada,HP,146,2,2,gagal,sukses
44,karyawan,menikah,lulus universitas,ya,tidak ada,HP,130,1,1,gagal,belum
64,pensiunan,menikah,lulus universitas,tidak,tidak ada,HP,700,2,1,sukses,sukses
32,buruh,lajang,lulus SMA,tidak,tidak ada,HP,247,1,2,sukses,sukses
30,administrasi,cerai,lulus SMA,ya,tidak ada,telepon rumah,62,4,1,gagal,belum
41,buruh,menikah,tidak lulus SD,ya,tidak ada,HP,234,1,2,gagal,belum
41,teknisi,lajang,lulus universitas,ya,tidak ada,HP,118,1,1,gagal,belum
36,teknisi,lajang,lulus SMA,ya,tidak ada,HP,208,1,1,gagal,belum
36,buruh,lajang,lulus SD,tidak,tidak ada,HP,141,1,1,gagal,belum
29,administrasi,lajang,lulus SMA,ya,tidak ada,HP,149,1,1,gagal,belum
59,pelayan,cerai,lulus SD,ya,tidak ada,HP,158,1,1,gagal,belum
27,administrasi,lajang,lulus universitas,ya,tidak ada,HP,680,1,1,gagal,belum
29,mahasiswa,lajang,lulus SMA,tidak,ada,HP,139,1,1,gagal,belum
42,teknisi,cerai,lulus SMA,ya,tidak ada,HP,228,2,1,gagal,belum
36,wiraswasta,menikah,lulus SMP,ya,tidak ada,HP,273,2,1,gagal,belum
38,wiraswasta,menikah,lulus diploma,ya,ada,HP,262,2,1,gagal,belum
36,buruh,menikah,lulus SMP,ya,tidak ada,HP,184,2,1,gagal,belum
35,karyawan,cerai,lulus universitas,ya,ada,HP,270,2,2,sukses,belum
46,administrasi,menikah,lulus SMA,ya,tidak ada,HP,39,1,1,gagal,belum
40,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,74,8,1,gagal,belum
44,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,635,3,1,gagal,belum
26,pelayan,lajang,lulus universitas,ya,tidak ada,HP,551,1,1,gagal,belum
31,teknisi,menikah,lulus universitas,ya,tidak ada,HP,50,3,1,gagal,belum
56,pensiunan,menikah,lulus universitas,tidak,tidak ada,HP,634,3,1,gagal,sukses
76,pensiunan,menikah,lulus universitas,tidak,tidak ada,HP,126,1,1,gagal,belum
39,administrasi,cerai,lulus SMA,tidak,ada,HP,301,1,1,gagal,belum
51,pelayan,cerai,lulus SMA,tidak,tidak ada,HP,398,2,1,gagal,belum
49,teknisi,cerai,lulus diploma,ya,tidak ada,HP,236,4,1,sukses,sukses
36,administrasi,menikah,lulus universitas,ya,tidak ada,HP,40,2,1,gagal,belum
27,pelayan,menikah,lulus SMP,ya,ada,HP,304,1,1,gagal,belum
26,mahasiswa,lajang,lulus SMA,ya,tidak ada,HP,223,3,1,gagal,sukses
48,buruh,menikah,lulus SD,tidak,ada,HP,152,4,1,gagal,belum
19,mahasiswa,lajang,lulus SMP,ya,tidak ada,HP,207,2,1,gagal,belum
35,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,337,2,1,sukses,sukses
32,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,1307,3,1,gagal,belum
49,administrasi,menikah,lulus SMA,tidak,tidak ada,HP,97,3,1,gagal,belum
82,pensiunan,menikah,lulus universitas,ya,ada,HP,63,1,1,gagal,belum
54,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,53,1,1,gagal,belum
33,wiraswasta,lajang,lulus universitas,tidak,tidak ada,HP,637,4,1,gagal,sukses
40,buruh,menikah,lulus SMA,ya,tidak ada,HP,158,1,1,sukses,belum
63,pensiunan,menikah,tidak lulus SD,ya,tidak ada,HP,413,1,2,sukses,sukses
44,pelayan,menikah,lulus SMA,ya,tidak ada,HP,240,1,2,gagal,belum
44,pelayan,menikah,lulus SMA,ya,tidak ada,HP,358,1,1,gagal,belum
59,freelance,menikah,lulus universitas,tidak,tidak ada,HP,94,2,1,gagal,belum
38,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,194,2,1,gagal,belum
50,PRT,menikah,tidak lulus SD,tidak,ada,HP,462,1,1,sukses,sukses
34,buruh,menikah,lulus SD,ya,tidak ada,HP,162,1,1,gagal,belum
36,buruh,menikah,lulus SMP,ya,tidak ada,HP,490,3,2,gagal,sukses
55,administrasi,menikah,lulus SMA,ya,tidak ada,HP,140,3,1,gagal,belum
36,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,522,1,2,sukses,sukses
37,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,104,2,1,gagal,belum
49,buruh,menikah,lulus SMP,ya,tidak ada,HP,52,1,1,gagal,belum
53,freelance,menikah,tidak lulus SD,ya,ada,HP,464,2,1,gagal,belum
68,pensiunan,menikah,lulus diploma,tidak,tidak ada,HP,76,1,1,gagal,belum
44,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,207,1,1,sukses,sukses
37,teknisi,cerai,lulus diploma,tidak,tidak ada,HP,66,1,1,gagal,belum
37,PRT,menikah,lulus universitas,tidak,tidak ada,HP,453,1,2,sukses,sukses
21,pelayan,lajang,lulus SMA,ya,tidak ada,HP,136,1,1,gagal,belum
35,freelance,lajang,lulus universitas,ya,ada,HP,179,1,1,gagal,belum
43,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,460,1,1,gagal,sukses
36,administrasi,cerai,lulus SMA,ya,tidak ada,HP,236,1,1,gagal,belum
57,karyawan,menikah,lulus diploma,ya,tidak ada,HP,224,2,1,gagal,belum
65,pensiunan,menikah,lulus diploma,ya,tidak ada,HP,261,1,3,sukses,sukses
43,administrasi,cerai,lulus universitas,ya,tidak ada,HP,741,4,2,gagal,sukses
23,buruh,lajang,lulus diploma,ya,tidak ada,HP,136,3,1,gagal,belum
29,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,154,3,1,gagal,belum
25,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,350,5,1,sukses,belum
34,teknisi,lajang,lulus diploma,ya,tidak ada,HP,8,2,1,gagal,belum
26,teknisi,lajang,lulus diploma,ya,tidak ada,HP,249,1,3,sukses,sukses
30,pelayan,menikah,lulus SMA,ya,tidak ada,HP,599,4,1,gagal,belum
50,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,269,1,1,sukses,sukses
37,karyawan,cerai,lulus universitas,tidak,tidak ada,HP,295,1,1,gagal,belum
25,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,80,1,1,gagal,belum
29,administrasi,menikah,lulus SMA,ya,ada,HP,58,1,1,gagal,belum
38,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,426,2,1,gagal,belum
73,pensiunan,menikah,tidak lulus SD,ya,tidak ada,HP,158,1,1,sukses,belum
26,teknisi,lajang,lulus universitas,tidak,tidak ada,HP,199,1,1,gagal,sukses
37,karyawan,lajang,lulus universitas,ya,tidak ada,HP,242,2,1,gagal,belum
40,administrasi,lajang,lulus SMP,ya,tidak ada,HP,356,1,3,sukses,sukses
34,buruh,menikah,lulus SD,ya,tidak ada,HP,306,2,1,gagal,belum
38,pelayan,menikah,lulus SMA,ya,tidak ada,HP,306,1,1,gagal,belum
45,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,647,1,1,gagal,sukses
40,teknisi,menikah,lulus diploma,ya,tidak ada,HP,180,1,1,gagal,belum
33,administrasi,menikah,lulus universitas,ya,tidak ada,HP,148,2,1,sukses,sukses
38,buruh,lajang,lulus SMA,tidak,tidak ada,telepon rumah,450,3,2,sukses,sukses
49,wiraswasta,menikah,lulus universitas,ya,tidak ada,HP,48,1,1,gagal,belum
28,freelance,lajang,lulus universitas,ya,tidak ada,HP,97,2,3,sukses,belum
35,pelayan,menikah,lulus SD,tidak,tidak ada,HP,592,1,1,sukses,sukses
36,freelance,cerai,lulus SMP,tidak,tidak ada,HP,133,1,2,gagal,belum
28,karyawan,lajang,lulus universitas,ya,tidak ada,HP,383,1,1,sukses,sukses
55,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,182,1,1,gagal,belum
55,wiraswasta,menikah,lulus diploma,ya,ada,HP,233,1,2,gagal,belum
41,administrasi,lajang,lulus SMA,ya,tidak ada,HP,57,1,1,gagal,belum
41,buruh,lajang,lulus SD,tidak,tidak ada,HP,103,2,1,gagal,belum
85,PRT,menikah,tidak lulus SD,tidak,tidak ada,HP,175,6,1,sukses,sukses
38,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,149,2,1,gagal,belum
31,administrasi,menikah,lulus universitas,ya,tidak ada,HP,298,2,1,sukses,belum
28,administrasi,lajang,lulus universitas,ya,tidak ada,HP,387,2,3,sukses,belum
74,pensiunan,menikah,lulus SMA,ya,tidak ada,HP,1452,1,1,gagal,sukses
28,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,72,3,1,gagal,belum
48,administrasi,menikah,lulus universitas,tidak,tidak ada,telepon rumah,185,1,2,sukses,sukses
34,freelance,menikah,lulus diploma,ya,tidak ada,HP,103,3,1,gagal,belum
35,pelayan,menikah,lulus SD,tidak,tidak ada,HP,178,2,1,gagal,belum
31,teknisi,lajang,lulus universitas,tidak,tidak ada,HP,110,1,1,gagal,belum
48,administrasi,cerai,lulus universitas,tidak,tidak ada,HP,172,3,6,sukses,sukses
47,pengangguran,menikah,lulus SMA,ya,tidak ada,HP,65,1,1,gagal,belum
34,teknisi,lajang,lulus universitas,tidak,tidak ada,HP,251,1,2,gagal,sukses
38,pelayan,menikah,lulus SMP,ya,tidak ada,HP,220,1,1,gagal,belum
35,freelance,lajang,lulus SMA,ya,tidak ada,HP,109,1,1,gagal,belum
36,administrasi,menikah,lulus SMA,ya,tidak ada,telepon rumah,114,1,1,gagal,sukses
35,karyawan,lajang,lulus universitas,ya,tidak ada,HP,233,1,1,gagal,belum
41,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,800,2,1,gagal,sukses
29,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,538,2,2,gagal,sukses
40,teknisi,lajang,lulus diploma,ya,tidak ada,HP,53,1,1,gagal,belum
32,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,642,3,1,sukses,sukses
35,administrasi,menikah,lulus universitas,tidak,ada,HP,242,2,1,gagal,belum
41,teknisi,menikah,lulus universitas,ya,ada,HP,135,1,1,gagal,belum
32,teknisi,lajang,lulus universitas,tidak,tidak ada,HP,96,1,1,gagal,sukses
42,pelayan,menikah,lulus SD,tidak,tidak ada,HP,324,7,1,gagal,belum
36,buruh,menikah,lulus SMA,ya,tidak ada,HP,20,8,1,gagal,belum
52,teknisi,menikah,lulus SMP,tidak,tidak ada,HP,10,7,1,gagal,belum
48,buruh,lajang,lulus SMP,ya,tidak ada,HP,85,1,1,gagal,belum
34,administrasi,lajang,lulus universitas,ya,tidak ada,HP,58,2,1,gagal,belum
60,administrasi,menikah,lulus SMP,tidak,tidak ada,HP,174,2,2,gagal,sukses
33,pelayan,lajang,lulus SMA,ya,tidak ada,HP,201,1,1,gagal,belum
32,buruh,menikah,lulus SMA,tidak,tidak ada,HP,319,1,1,gagal,belum
23,pelayan,lajang,lulus SMP,ya,tidak ada,HP,64,1,1,gagal,belum
43,karyawan,menikah,lulus universitas,ya,tidak ada,HP,661,4,1,gagal,belum
51,wiraswasta,cerai,lulus universitas,ya,tidak ada,telepon rumah,231,1,1,gagal,belum
51,administrasi,menikah,lulus SMA,tidak,ada,HP,55,1,1,gagal,belum
49,pelayan,menikah,lulus SMA,ya,tidak ada,HP,165,1,1,gagal,belum
32,teknisi,menikah,lulus diploma,ya,tidak ada,HP,44,1,1,sukses,belum
31,buruh,cerai,lulus SMP,ya,tidak ada,HP,160,2,1,gagal,belum
53,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,925,1,1,sukses,sukses
33,administrasi,lajang,lulus universitas,tidak,ada,HP,49,2,1,gagal,belum
29,buruh,lajang,lulus SMA,ya,ada,HP,2129,1,1,gagal,belum
57,pensiunan,menikah,tidak lulus SD,ya,tidak ada,HP,295,1,2,sukses,belum
34,buruh,menikah,tidak lulus SD,tidak,tidak ada,HP,223,1,1,gagal,belum
24,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,220,1,1,gagal,belum
31,buruh,lajang,lulus diploma,ya,tidak ada,HP,60,5,1,gagal,belum
23,buruh,lajang,lulus SMP,ya,tidak ada,HP,119,1,1,gagal,belum
26,mahasiswa,lajang,lulus SMA,tidak,tidak ada,HP,215,1,3,sukses,sukses
32,teknisi,lajang,lulus diploma,tidak,tidak ada,HP,303,2,1,gagal,belum
69,pensiunan,menikah,tidak lulus SD,tidak,tidak ada,HP,258,3,1,sukses,belum
35,buruh,menikah,lulus SD,ya,tidak ada,HP,143,1,1,gagal,belum
55,pensiunan,menikah,tidak lulus SD,ya,tidak ada,HP,137,1,1,sukses,sukses
23,mahasiswa,lajang,lulus SMA,ya,tidak ada,HP,784,3,3,gagal,sukses
27,pelayan,lajang,lulus SMA,tidak,tidak ada,HP,472,6,1,gagal,belum
29,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,122,1,2,sukses,sukses
37,pengangguran,menikah,lulus universitas,ya,tidak ada,telepon rumah,126,3,2,sukses,belum
38,buruh,lajang,lulus SMA,ya,tidak ada,HP,81,3,1,gagal,belum
58,pelayan,menikah,lulus SMA,ya,tidak ada,HP,164,5,1,gagal,belum
55,pensiunan,menikah,lulus SMA,ya,tidak ada,HP,424,2,1,sukses,sukses
36,buruh,menikah,lulus SMP,ya,tidak ada,HP,98,1,2,gagal,belum
50,freelance,cerai,lulus universitas,ya,tidak ada,HP,743,1,1,gagal,belum
30,teknisi,menikah,lulus universitas,tidak,ada,HP,131,1,1,gagal,belum
35,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,421,2,1,sukses,belum
51,teknisi,menikah,lulus diploma,ya,tidak ada,HP,687,1,1,sukses,sukses
49,administrasi,menikah,lulus SMA,tidak,tidak ada,HP,104,1,1,sukses,belum
83,PRT,cerai,tidak lulus SD,ya,tidak ada,HP,667,2,1,sukses,sukses
59,administrasi,cerai,lulus diploma,tidak,tidak ada,HP,206,1,1,gagal,sukses
42,administrasi,menikah,lulus universitas,ya,tidak ada,HP,419,3,1,gagal,belum
32,buruh,menikah,lulus SD,ya,ada,HP,261,1,1,gagal,belum
54,pengangguran,menikah,lulus diploma,ya,tidak ada,telepon rumah,200,2,4,gagal,belum
59,karyawan,menikah,lulus universitas,ya,tidak ada,HP,210,2,1,gagal,belum
38,pelayan,lajang,lulus SMA,ya,tidak ada,telepon rumah,1,1,3,sukses,belum
32,freelance,lajang,lulus universitas,ya,tidak ada,HP,940,1,1,sukses,sukses
28,teknisi,menikah,lulus SMP,tidak,tidak ada,telepon rumah,472,2,1,gagal,belum
30,buruh,lajang,lulus diploma,tidak,tidak ada,HP,293,1,1,sukses,sukses
59,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,1207,4,1,gagal,sukses
40,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,71,2,1,gagal,belum
37,teknisi,lajang,lulus universitas,ya,tidak ada,HP,300,1,2,gagal,sukses
32,teknisi,lajang,lulus universitas,ya,tidak ada,HP,293,2,1,gagal,belum
44,administrasi,cerai,lulus SMA,ya,tidak ada,telepon rumah,1628,2,1,sukses,sukses
35,karyawan,lajang,lulus SMA,ya,tidak ada,HP,52,1,1,gagal,belum
49,administrasi,cerai,lulus universitas,ya,tidak ada,HP,88,1,1,sukses,belum
40,buruh,menikah,lulus SD,ya,tidak ada,HP,182,2,1,gagal,belum
33,teknisi,cerai,lulus diploma,ya,tidak ada,HP,104,3,1,gagal,belum
23,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,370,1,1,gagal,belum
32,administrasi,menikah,lulus universitas,ya,tidak ada,HP,62,6,1,gagal,belum
31,pelayan,lajang,lulus SMA,tidak,tidak ada,HP,68,2,1,gagal,belum
61,pensiunan,menikah,lulus universitas,tidak,tidak ada,HP,350,1,2,sukses,sukses
38,buruh,lajang,lulus SD,ya,ada,HP,309,1,1,gagal,belum
53,teknisi,menikah,lulus diploma,ya,tidak ada,telepon rumah,247,5,2,gagal,belum
34,teknisi,menikah,lulus diploma,ya,tidak ada,telepon rumah,129,1,1,sukses,belum
29,buruh,cerai,tidak lulus SD,ya,tidak ada,HP,1223,3,1,gagal,belum
34,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,111,1,1,gagal,belum
42,freelance,menikah,lulus diploma,tidak,tidak ada,HP,160,1,1,gagal,belum
36,pengangguran,lajang,lulus universitas,ya,tidak ada,HP,205,1,1,sukses,sukses
33,administrasi,lajang,lulus SMA,ya,tidak ada,HP,162,1,1,gagal,belum
34,buruh,menikah,lulus diploma,ya,ada,HP,64,1,1,gagal,belum
43,buruh,menikah,tidak lulus SD,ya,tidak ada,HP,255,2,1,gagal,belum
51,teknisi,menikah,lulus universitas,ya,tidak ada,HP,303,1,1,sukses,sukses
71,pensiunan,lajang,lulus universitas,ya,tidak ada,HP,217,1,2,gagal,sukses
31,buruh,menikah,lulus SMP,tidak,tidak ada,HP,84,1,1,gagal,sukses
35,freelance,menikah,lulus diploma,ya,tidak ada,HP,91,1,1,gagal,belum
37,karyawan,cerai,lulus universitas,ya,tidak ada,HP,259,1,1,gagal,belum
30,teknisi,lajang,lulus universitas,ya,tidak ada,HP,173,2,4,gagal,sukses
35,administrasi,lajang,lulus SMP,ya,tidak ada,HP,79,1,1,gagal,belum
54,buruh,menikah,tidak lulus SD,ya,ada,HP,192,1,1,gagal,belum
53,administrasi,menikah,lulus SMA,ya,ada,HP,186,2,1,gagal,belum
34,buruh,menikah,lulus SMP,ya,tidak ada,HP,311,3,1,gagal,belum
53,pensiunan,cerai,lulus universitas,ya,tidak ada,HP,172,2,1,gagal,belum
32,freelance,menikah,lulus universitas,tidak,tidak ada,HP,707,2,2,sukses,sukses
44,buruh,menikah,lulus SD,ya,tidak ada,telepon rumah,272,2,1,gagal,belum
30,buruh,menikah,tidak lulus SD,tidak,tidak ada,HP,208,1,1,gagal,belum
53,administrasi,menikah,lulus SMA,ya,tidak ada,HP,358,1,1,gagal,belum
25,mahasiswa,lajang,lulus SMA,tidak,tidak ada,HP,294,1,1,gagal,sukses
51,administrasi,menikah,lulus universitas,ya,tidak ada,HP,281,3,3,sukses,sukses
68,pensiunan,menikah,tidak lulus SD,tidak,tidak ada,telepon rumah,201,1,1,gagal,belum
30,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,647,2,1,gagal,belum
34,buruh,menikah,lulus SMP,tidak,tidak ada,HP,263,1,1,gagal,belum
49,buruh,menikah,lulus SMP,tidak,tidak ada,HP,157,3,2,sukses,belum
31,administrasi,menikah,lulus universitas,ya,tidak ada,HP,779,2,1,gagal,belum
41,pelayan,menikah,lulus SMA,ya,ada,HP,301,1,1,gagal,belum
28,buruh,lajang,lulus SMA,tidak,ada,HP,101,2,2,gagal,belum
40,karyawan,cerai,lulus universitas,ya,tidak ada,HP,293,2,4,gagal,belum
30,administrasi,menikah,lulus SMA,tidak,tidak ada,HP,157,1,1,gagal,belum
29,pelayan,lajang,lulus SMA,ya,tidak ada,HP,332,2,1,gagal,belum
34,buruh,lajang,lulus SMP,tidak,tidak ada,HP,281,2,1,gagal,belum
31,buruh,lajang,lulus SMA,tidak,tidak ada,HP,451,1,1,gagal,belum
48,karyawan,menikah,lulus universitas,tidak,ada,HP,591,1,1,gagal,sukses
42,freelance,cerai,lulus SMA,ya,tidak ada,HP,455,2,1,gagal,belum
34,administrasi,lajang,lulus SMA,ya,tidak ada,HP,239,1,1,gagal,belum
46,teknisi,lajang,lulus SMP,tidak,tidak ada,HP,221,2,1,gagal,belum
29,administrasi,lajang,lulus SMA,ya,tidak ada,HP,415,1,1,sukses,sukses
36,buruh,menikah,lulus SMA,ya,tidak ada,HP,232,1,1,gagal,belum
53,administrasi,cerai,lulus universitas,ya,ada,HP,168,2,1,gagal,belum
38,buruh,menikah,lulus SMP,tidak,tidak ada,HP,204,1,1,sukses,belum
51,wiraswasta,menikah,lulus diploma,tidak,tidak ada,HP,295,1,1,gagal,belum
34,administrasi,menikah,lulus SMA,tidak,tidak ada,HP,201,3,1,gagal,belum
35,buruh,menikah,lulus SMP,tidak,tidak ada,HP,280,2,1,gagal,belum
40,teknisi,menikah,lulus SMA,ya,tidak ada,HP,69,2,2,gagal,belum
38,karyawan,menikah,lulus universitas,ya,tidak ada,HP,187,2,1,sukses,sukses
30,teknisi,menikah,lulus diploma,ya,tidak ada,HP,215,1,1,sukses,sukses
43,administrasi,lajang,lulus SMA,ya,tidak ada,HP,192,2,1,gagal,belum
58,administrasi,cerai,lulus SMA,tidak,tidak ada,HP,315,3,1,gagal,belum
49,teknisi,cerai,lulus diploma,ya,tidak ada,HP,361,2,1,gagal,belum
59,administrasi,cerai,lulus universitas,tidak,tidak ada,HP,58,1,1,gagal,belum
41,freelance,menikah,lulus SMP,tidak,tidak ada,HP,112,1,1,gagal,belum
57,pensiunan,menikah,lulus SD,tidak,tidak ada,HP,100,3,1,gagal,belum
39,pelayan,menikah,lulus SMA,ya,ada,telepon rumah,186,4,1,gagal,belum
37,buruh,menikah,lulus SMA,ya,tidak ada,HP,196,2,1,gagal,belum
34,buruh,lajang,lulus SMP,ya,tidak ada,HP,483,1,1,gagal,belum
57,administrasi,menikah,lulus SD,tidak,tidak ada,HP,259,1,1,gagal,belum
33,freelance,menikah,lulus universitas,ya,tidak ada,HP,184,1,1,sukses,belum
32,teknisi,menikah,lulus SMA,tidak,tidak ada,HP,134,1,1,gagal,belum
36,teknisi,lajang,lulus diploma,tidak,tidak ada,HP,199,1,1,gagal,belum
36,buruh,menikah,lulus SD,ya,ada,HP,157,2,1,gagal,belum
44,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,263,1,1,gagal,belum
34,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,146,1,1,gagal,belum
43,karyawan,menikah,lulus SMP,ya,tidak ada,HP,180,1,2,gagal,belum
38,administrasi,menikah,lulus universitas,tidak,tidak ada,telepon rumah,71,1,1,sukses,sukses
21,pelayan,lajang,lulus SMA,tidak,tidak ada,HP,68,1,1,gagal,belum
36,teknisi,lajang,lulus diploma,ya,tidak ada,HP,1132,1,1,gagal,sukses
55,karyawan,menikah,lulus universitas,ya,tidak ada,HP,99,1,1,gagal,belum
43,wiraswasta,menikah,lulus universitas,tidak,tidak ada,HP,255,1,1,sukses,sukses
60,pengangguran,menikah,lulus SD,ya,tidak ada,HP,95,1,1,sukses,belum
44,teknisi,menikah,lulus universitas,ya,tidak ada,HP,662,2,1,sukses,sukses
